institution	url	ror_results	chosen	score	matching_type	organization.name	organization.id	organization.country.country_name
ASSISTANT PROFESSOR	https://api.ror.org/organizations?affiliation=ASSISTANT+PROFESSOR	15	FALSE	0.67	FUZZY	Potato Processors Association	https://ror.org/01abd8q97	United Kingdom
ASSOCIATE LABORATORY LSRE-LCM, POLYTECHNIC INSTITUTE OF BRAGANÇA	https://api.ror.org/organizations?affiliation=ASSOCIATE+LABORATORY+LSRE-LCM,+POLYTECHNIC+INSTITUTE+OF+BRAGANCA	34	TRUE	1	PHRASE	Polytechnic Institute of Bragança	https://ror.org/00prsav78	Portugal
Associate teacher, Universidade Federal do Rio de Janeiro	https://api.ror.org/organizations?affiliation=Associate+teacher,+Universidade+Federal+do+Rio+de+Janeiro	29	TRUE	1	PHRASE	Federal University of Rio de Janeiro	https://ror.org/03490as77	Brazil
ASTON UNIVERSITY, ENGLAND	https://api.ror.org/organizations?affiliation=ASTON+UNIVERSITY,+ENGLAND	25	TRUE	1	PHRASE	Aston University	https://ror.org/05j0ve876	United Kingdom
ASTRAZENECA R&D IMED RIA, MEDICINAL CHEMISTRY	https://api.ror.org/organizations?affiliation=ASTRAZENECA+R&D+IMED+RIA,+MEDICINAL+CHEMISTRY	0						
Auburn University	https://api.ror.org/organizations?affiliation=Auburn+University	20	TRUE	1	PHRASE	Auburn University	https://ror.org/02v80fc35	United States
AUTONOMOUS UNIVERSITY  OF COAHUILA	https://api.ror.org/organizations?affiliation=AUTONOMOUS+UNIVERSITY++OF+COAHUILA	19	TRUE	1	PHRASE	Autonomous University of Coahuila	https://ror.org/00dpnh189	Mexico
AUTONOMOUS UNIVERSITY OF COAHUILA	https://api.ror.org/organizations?affiliation=AUTONOMOUS+UNIVERSITY+OF+COAHUILA	19	TRUE	1	PHRASE	Autonomous University of Coahuila	https://ror.org/00dpnh189	Mexico
AUTONOMOUS UNIVERSITY OF NUEVO LEÓN	https://api.ror.org/organizations?affiliation=AUTONOMOUS+UNIVERSITY+OF+NUEVO+LEON	18	TRUE	1	PHRASE	Universidad Autónoma de Nuevo León	https://ror.org/01fh86n78	Mexico
AVANTIUM	https://api.ror.org/organizations?affiliation=AVANTIUM	1	TRUE	1	PHRASE	Avantium (Netherlands)	https://ror.org/052kwn289	Netherlands
AVANTIUM / UNIVERSITÉ COTE D’AZUR	https://api.ror.org/organizations?affiliation=AVANTIUM+/+UNIVERSITE+COTE+D'AZUR	12	FALSE	0.83	COMMON TERMS	Université Côte d'Azur	https://ror.org/019tgvf94	France
AVANTIUM CHEMICALS	https://api.ror.org/organizations?affiliation=AVANTIUM+CHEMICALS	11	FALSE	0.57	COMMON TERMS	Swedish Chemicals Agency	https://ror.org/02gwnf178	Sweden
AVANTIUM CHEMICALS B.V.	https://api.ror.org/organizations?affiliation=AVANTIUM+CHEMICALS+B.V.	11	FALSE	0.59	COMMON TERMS	Devan Chemicals (Belgium)	https://ror.org/04831wp37	Belgium
AVANTIUM CHEMICALS BV	https://api.ror.org/organizations?affiliation=AVANTIUM+CHEMICALS+BV	9	FALSE	0.51	COMMON TERMS	Tata Chemicals (India)	https://ror.org/03b6pnq25	India
AVEIRO INSTITUTE OF MATERIALS	https://api.ror.org/organizations?affiliation=AVEIRO+INSTITUTE+OF+MATERIALS	19	FALSE	0.8	COMMON TERMS	Institute of New Materials	https://ror.org/04s8x9847	China
AVEIRO UNIVERSITY	https://api.ror.org/organizations?affiliation=AVEIRO+UNIVERSITY	20	TRUE	0.92	COMMON TERMS	University of Aveiro	https://ror.org/00nt41z93	Portugal
AVIGNON UNIVERSITY	https://api.ror.org/organizations?affiliation=AVIGNON+UNIVERSITY	20	TRUE	0.92	COMMON TERMS	University of Avignon	https://ror.org/00mfpxb84	France
AZM CENTER	https://api.ror.org/organizations?affiliation=AZM+CENTER	1	TRUE	0.9	ACRONYM	Maastricht University Medical Centre	https://ror.org/02d9ce178	Netherlands
Badji Mokhtar University	https://api.ror.org/organizations?affiliation=Badji+Mokhtar+University	19	TRUE	1	PHRASE	Badji Mokhtar University	https://ror.org/03sf55932	Algeria
BAER AG	https://api.ror.org/organizations?affiliation=BAER+AG	0						
Bahia	https://api.ror.org/organizations?affiliation=Bahia	0						
BAHIA	https://api.ror.org/organizations?affiliation=BAHIA	0						
BARCHITECTURE ET FONCTION DES MACROMOLÉCULES BIOLOGIQUES (AFMB), UMR 7257 CNRS, AIX-MARSEILLE UNIVERSITÉ, INRA, USC 1408	https://api.ror.org/organizations?affiliation=BARCHITECTURE+ET+FONCTION+DES+MACROMOLECULES+BIOLOGIQUES+(AFMB),+UMR+7257+CNRS,+AIX-MARSEILLE+UNIVERSITE,+INRA,+USC+1408	62	TRUE	1	PHRASE	Aix-Marseille University	https://ror.org/035xkbk20	France
BASF SE	https://api.ror.org/organizations?affiliation=BASF+SE	1	TRUE	1	PHRASE	BASF (United States)	https://ror.org/002yzpx87	United States
BAYER AG	https://api.ror.org/organizations?affiliation=BAYER+AG	0						
Bayer Pharma AG	https://api.ror.org/organizations?affiliation=Bayer+Pharma+AG	10	FALSE	0.51	FUZZY	Pharmac	https://ror.org/048macv48	New Zealand
BDI-Bio-Energy International AG	https://api.ror.org/organizations?affiliation=BDI-Bio-Energy+International+AG	18	FALSE	0.9	ACRONYM	Federation of German Industries	https://ror.org/00xb58j90	Germany
BDI-BIOENERGY INTERNATIONAL AG	https://api.ror.org/organizations?affiliation=BDI-BIOENERGY+INTERNATIONAL+AG	25	TRUE	1	COMMON TERMS	BioEnergy International (Austria)	https://ror.org/02g70zk77	Austria
BEIJING FORESTRY UNIVERSITY	https://api.ror.org/organizations?affiliation=BEIJING+FORESTRY+UNIVERSITY	20	TRUE	1	PHRASE	Beijing Forestry University	https://ror.org/04xv2pc41	China
bEquipe Approches Moléculaires Environnement-Santé, UMR CNRS 7266, LIENSs	https://api.ror.org/organizations?affiliation=bEquipe+Approches+Moleculaires+Environnement-Sante,+UMR+CNRS+7266,+LIENSs	27	TRUE	0.9	ACRONYM	National Council for Scientific Research	https://ror.org/00x9ewr78	Lebanon
Bergen University	https://api.ror.org/organizations?affiliation=Bergen+University	20	TRUE	0.92	COMMON TERMS	University of Bergen	https://ror.org/03zga2b32	Norway
BFH HAFL	https://api.ror.org/organizations?affiliation=BFH+HAFL	1	TRUE	0.9	ACRONYM	Bern University of Applied Sciences	https://ror.org/02bnkt322	Switzerland
BFH/SCHOOL OF AGRICULTURAL, FOREST AND FOOD SCIENCES	https://api.ror.org/organizations?affiliation=BFH/SCHOOL+OF+AGRICULTURAL,+FOREST+AND+FOOD+SCIENCES	44	TRUE	0.9	ACRONYM	Bern University of Applied Sciences	https://ror.org/02bnkt322	Switzerland
BIA-INRA	https://api.ror.org/organizations?affiliation=BIA-INRA	5	FALSE	0.9	ACRONYM	Biopolymères Interactions Assemblages	https://ror.org/013vjwn12	France
BIELEFELD UNIVERSITY	https://api.ror.org/organizations?affiliation=BIELEFELD+UNIVERSITY	19	TRUE	1	PHRASE	Bielefeld University	https://ror.org/02hpadn98	Germany
BIOBASIC ENVIRONNEMENT	https://api.ror.org/organizations?affiliation=BIOBASIC+ENVIRONNEMENT	20	FALSE	0.67	FUZZY	Leefmilieu Brussel	https://ror.org/02dprkj51	Belgium
BIOCORIUM	https://api.ror.org/organizations?affiliation=BIOCORIUM	0						
BIODIVERSITY, WATER AND SOIL CONSERVATION (LBCES)	https://api.ror.org/organizations?affiliation=BIODIVERSITY,+WATER+AND+SOIL+CONSERVATION+(LBCES)	35	TRUE	0.9	ACRONYM	Advanced Neural Dynamics (United States)	https://ror.org/05k7ts633	United States
BIOEUROPE-GROUPE SOLABIA	https://api.ror.org/organizations?affiliation=BIOEUROPE-GROUPE+SOLABIA	10	FALSE	0.62	COMMON TERMS	Lesaffre (France)	https://ror.org/00r23cm16	France
BIOHYBRID MATERIALS, DEPARTMENT OF BIOPRODUCTS AND BIOSYSTEMS, AALTO UNIVERSITY	https://api.ror.org/organizations?affiliation=BIOHYBRID+MATERIALS,+DEPARTMENT+OF+BIOPRODUCTS+AND+BIOSYSTEMS,+AALTO+UNIVERSITY	62	TRUE	1	PHRASE	Aalto University	https://ror.org/020hwjq30	Finland
BIOINSPIRED HOMO- & HETEROGENEOUS CATALYSIS, LEIBNIZ INSTITUTE FOR CATALYSIS	https://api.ror.org/organizations?affiliation=BIOINSPIRED+HOMO-+&+HETEROGENEOUS+CATALYSIS,+LEIBNIZ+INSTITUTE+FOR+CATALYSIS	7	FALSE	0.5	FUZZY	Home Free Home	https://ror.org/05kwxr504	United States
BIOLIE SAS	https://api.ror.org/organizations?affiliation=BIOLIE+SAS	10	FALSE	0.9	ACRONYM	Society for Applied Studies	https://ror.org/00x817z51	India
BIOLOGY DEPARTMENT, FACULTY OF SCIENCES, TAHAR MOULAY UNIVERSITY, SAIDA 20000, ALGERIA	https://api.ror.org/organizations?affiliation=BIOLOGY+DEPARTMENT,+FACULTY+OF+SCIENCES,+TAHAR+MOULAY+UNIVERSITY,+SAIDA+20000,+ALGERIA	5	FALSE	0.86	COMMON TERMS	Université de Saida Dr.Moulay Tahar	https://ror.org/03mwqca46	Algeria
Biomass Energy and Biofuels Laboratory 2iE-CIRAD	https://api.ror.org/organizations?affiliation=Biomass+Energy+and+Biofuels+Laboratory+2iE-CIRAD	43	TRUE	0.9	ACRONYM	Centre de Coopération Internationale en Recherche Agronomique pour le Développement	https://ror.org/05kpkpg04	France
BIOPOLYMÈRES INTERACTIONS ASSEMBLAGES	https://api.ror.org/organizations?affiliation=BIOPOLYMERES+INTERACTIONS+ASSEMBLAGES	14	TRUE	1	PHRASE	Biopolymères Interactions Assemblages	https://ror.org/013vjwn12	France
BIOPRODUCT CHEMISTRY, DEPARTMENT OF BIOPRODUCTS AND BIOSYSTEMS, AALTO UNIVERSITY	https://api.ror.org/organizations?affiliation=BIOPRODUCT+CHEMISTRY,+DEPARTMENT+OF+BIOPRODUCTS+AND+BIOSYSTEMS,+AALTO+UNIVERSITY	59	TRUE	1	PHRASE	Aalto University	https://ror.org/020hwjq30	Finland
BIOSEDEV	https://api.ror.org/organizations?affiliation=BIOSEDEV	0						
Biosynthis	https://api.ror.org/organizations?affiliation=Biosynthis	0						
BIOSYNTHIS	https://api.ror.org/organizations?affiliation=BIOSYNTHIS	0						
Biotechnologie des Champignons Filamenteux, Polytech Marseille, (INRA)	https://api.ror.org/organizations?affiliation=Biotechnologie+des+Champignons+Filamenteux,+Polytech+Marseille,+(INRA)	36	TRUE	0.9	ACRONYM	Institut National de la Recherche Agronomique	https://ror.org/05y503v71	Morocco
BOIS-VALOR	https://api.ror.org/organizations?affiliation=BOIS-VALOR	0						
BOKU - UNIVERSITY OF NATURAL RESOURCES AND LIFE SC	https://api.ror.org/organizations?affiliation=BOKU+-+UNIVERSITY+OF+NATURAL+RESOURCES+AND+LIFE+SC	2	TRUE	1	ACRONYM	Advanced Neural Dynamics (United States)	https://ror.org/05k7ts633	United States
Boku - University of Natural Resources and Life Sciences	https://api.ror.org/organizations?affiliation=Boku+-+University+of+Natural+Resources+and+Life+Sciences	40	TRUE	1	COMMON TERMS	University of Natural Resources and Life Sciences	https://ror.org/057ff4y42	Austria
BOKU UNIVERSITY	https://api.ror.org/organizations?affiliation=BOKU+UNIVERSITY	21	TRUE	0.9	ACRONYM	University of Natural Resources and Life Sciences	https://ror.org/057ff4y42	Austria
Bologna University	https://api.ror.org/organizations?affiliation=Bologna+University	19	TRUE	0.92	COMMON TERMS	University of Bologna	https://ror.org/01111rn36	Italy
BOLOGNA UNIVERSITY	https://api.ror.org/organizations?affiliation=BOLOGNA+UNIVERSITY	19	TRUE	0.92	COMMON TERMS	University of Bologna	https://ror.org/01111rn36	Italy
Boreskov Institute of Catalysis	https://api.ror.org/organizations?affiliation=Boreskov+Institute+of+Catalysis	18	TRUE	1	PHRASE	Boreskov Institute of Catalysis	https://ror.org/00kftxm09	Russia
BORESKOV INSTITUTE OF CATALYSIS	https://api.ror.org/organizations?affiliation=BORESKOV+INSTITUTE+OF+CATALYSIS	18	TRUE	1	PHRASE	Boreskov Institute of Catalysis	https://ror.org/00kftxm09	Russia
BORESKOV INSTITUTE OF CATALYSIS SB RAS	https://api.ror.org/organizations?affiliation=BORESKOV+INSTITUTE+OF+CATALYSIS+SB+RAS	18	TRUE	0.9	COMMON TERMS	Boreskov Institute of Catalysis	https://ror.org/00kftxm09	Russia
Boreskov Institute of Catalysis/ Novosibirsk State University	https://api.ror.org/organizations?affiliation=Boreskov+Institute+of+Catalysis/+Novosibirsk+State+University	19	TRUE	1	COMMON TERMS	Boreskov Institute of Catalysis	https://ror.org/00kftxm09	Russia
